Designator,Footprint,Quantity,Value,LCSC Part #
BOOT1,SW_SPST_TL3342,1,SW_SPST,
"C1, C2, C43, C45, C48, C8",0402,6,100nF,C307331
"C10, C9",0402,2,1uF,C307331
"C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C3, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C4, C40, C41, C42",0402,34,100nF,
"C44, C49",0402,2,4.7uF,C23733
C46,0402,1,10nF,C15195
C47,0402,1,1uF,C52923
"D1, D477",SOT-23,2,BAV70,C68978
"D100, D101, D120, D121, D140, D141, D160, D170, D171, D202, D203, D222, D223, D242, D243, D262, D272, D273, D304, D305, D324, D325, D344, D345, D364, D374, D375, D406, D407, D437, D446, D457",SOT-23,32,BAV70,
F1,1206,1,500mA,C135341
J2,Molex_Pico-EZmate_78171-0004_1x04-1MP_P1.20mm_Vertical,1,X1224WRS-04-LPV01,C588524
"LED1, LED10, LED11, LED12, LED13, LED14, LED15, LED16, LED17, LED18, LED19, LED2, LED20, LED21, LED22, LED23, LED24, LED25, LED26, LED27, LED28, LED29, LED3, LED30, LED31, LED32, LED33, LED34, LED4, LED5, LED6, LED7, LED8, LED9",LED_WS2812B_1010_Xinlight,34,TF_WS2812_1010,
"MX100, MX101, MX110, MX111, MX120, MX121, MX130, MX131, MX140, MX141, MX150, MX151, MX170, MX171, MX180, MX181, MX203, MX212, MX213, MX222, MX223, MX232, MX233, MX242, MX243, MX252, MX253, MX272, MX273, MX282, MX283, MX305, MX314, MX315, MX324, MX325, MX334, MX335, MX344, MX345, MX354, MX364, MX374, MX375, MX384, MX385, MX407, MX417.275, MX417.625, MX437.225, MX447, MX457, MX467, MX476, MX477, MX477.200, MX486, MX487, MX487.200",SW_MX_HS_CPG151101S11_1u+3d,59,MX-NoLED,
"MX160, MX304",SW_MX_HS_CPG151101S11_1.75u+3d,2,MX-NoLED,
"MX202, MX355, MX406.125, MX416.125, MX446.125, MX456.125",SW_MX_HS_CPG151101S11_1.25u+3d,6,MX-NoLED,
MX262,SW_MX_HS_CPG151101S11_1.5u_+3d,1,MX-NoLED,
"R1, R2",0402,2,500,
"R8, R9",0402,2,5.1k,
U1,SOT-563,1,SN74LVC1T45DRL,
U2,SOT-143,1,PRTR5V0U2X,C2827688
U4,SOT-23,1,XC6206PxxxMR-Regulator_Linear,C5446
U5,LQFP-48_7x7mm_P0.5mm,1,STM32F072CBT6,
