Designator,Mid X,Mid Y,Rotation,Layer
BOOT1,370.68125,-125.4125,90.0,bottom
C1,352.792593,-126.520913,90.0,bottom
C10,359.41962,-104.477256,180.0,bottom
C11,369.704928,-115.455574,0.0,top
C12,369.704928,-114.346684,0.0,top
C13,369.704928,-112.362309,0.0,top
C14,369.704928,-110.377934,0.0,top
C15,369.712632,-108.386282,0.0,top
C16,369.708511,-106.407834,0.0,top
C17,369.704928,-104.442303,0.0,top
C18,369.704928,-102.507537,0.0,top
C19,369.704928,-100.423945,0.0,top
C2,350.043456,-126.503801,270.0,bottom
C20,369.704928,-98.489181,0.0,top
C21,369.704928,-96.554418,0.0,top
C22,369.704928,-94.470826,0.0,top
C23,369.704928,-92.536063,0.0,top
C24,369.704928,-90.601297,0.0,top
C25,369.704928,-88.517707,0.0,top
C26,369.705235,-86.51592,0.0,top
C27,369.705235,-83.787309,0.0,top
C28,363.508378,-83.737725,180.0,top
C29,363.508377,-85.594753,180.0,top
C3,363.50642,-113.503327,180.0,top
C30,363.508377,-87.678345,180.0,top
C31,363.508377,-89.613109,180.0,top
C32,363.508377,-91.696701,180.0,top
C33,363.508378,-93.631465,180.0,top
C34,363.508378,-95.566228,180.0,top
C35,363.508378,-97.649819,180.0,top
C36,363.508377,-99.584585,180.0,top
C37,363.508377,-101.519349,180.0,top
C38,363.508377,-103.602941,180.0,top
C39,363.508378,-105.537705,180.0,top
C4,363.504431,-115.289261,180.0,top
C40,363.508378,-107.472467,180.0,top
C41,363.508378,-109.556059,180.0,top
C42,363.508377,-111.490823,180.0,top
C43,343.796364,-117.50768,180.0,bottom
C44,343.79268,-116.383497,180.0,bottom
C45,356.280739,-123.003944,0.0,bottom
C46,349.00166,-126.503801,90.0,bottom
C47,347.959864,-126.503801,90.0,bottom
C48,353.900545,-114.059073,270.0,bottom
C49,352.792683,-114.059073,270.0,bottom
C8,357.414319,-98.895434,90.0,bottom
C9,358.526652,-98.895434,90.0,bottom
D1,391.729716,-143.528584,90.0,bottom
D100,117.078125,-84.1375,90.0,bottom
D101,153.590625,-88.9,90.0,bottom
D120,191.690625,-88.9,90.0,bottom
D121,229.790625,-88.9,90.0,bottom
D140,267.890625,-88.9,90.0,bottom
D141,305.990625,-88.9,90.0,bottom
D160,332.184375,-88.9,90.0,bottom
D170,391.715625,-88.9,90.0,bottom
D171,429.815625,-88.9,90.0,bottom
D202,119.459375,-107.95,90.0,bottom
D203,158.353125,-107.95,90.0,bottom
D222,196.453125,-107.95,90.0,bottom
D223,234.553125,-107.95,90.0,bottom
D242,272.653125,-107.95,90.0,bottom
D243,310.753125,-107.95,90.0,bottom
D262,329.803125,-107.95,90.0,bottom
D272,391.715625,-107.95,90.0,bottom
D273,429.815625,-107.95,90.0,bottom
D304,129.38125,-126.603125,90.0,bottom
D305,167.878125,-127.0,90.0,bottom
D324,205.978125,-127.0,90.0,bottom
D325,244.078125,-127.0,90.0,bottom
D344,282.178125,-127.0,90.0,bottom
D345,322.2625,-127.0,90.0,bottom
D364,368.3,-140.49375,90.0,bottom
D374,391.715625,-127.0,90.0,bottom
D375,431.00625,-130.96875,90.0,bottom
D406,120.253125,-145.653125,90.0,bottom
D407,162.994355,-143.481133,90.0,bottom
D437,260.511882,-143.518259,90.0,bottom
D446,303.20155,-143.495815,90.0,bottom
D457,348.853125,-150.8125,90.0,bottom
D477,431.8,-140.890625,90.0,bottom
F1,355.203125,-102.790625,180.0,bottom
J2,355.203125,-92.075,180.0,bottom
LED1,367.621338,-115.902059,270.0,top
LED10,367.590904,-98.042684,270.0,top
LED11,367.590904,-96.058309,270.0,top
LED12,367.590904,-94.073934,270.0,top
LED13,367.590904,-92.089559,270.0,top
LED14,367.590904,-90.105184,270.0,top
LED15,367.590904,-88.120809,270.0,top
LED16,367.590904,-86.136434,270.0,top
LED17,367.621336,-84.184184,0.0,top
LED18,365.538051,-84.184184,90.0,top
LED19,365.538051,-86.136434,90.0,top
LED2,367.590904,-113.917684,270.0,top
LED20,365.538051,-88.120809,90.0,top
LED21,365.538051,-90.105184,90.0,top
LED22,365.538051,-92.089559,90.0,top
LED23,365.538051,-94.073934,90.0,top
LED24,365.538051,-96.058309,90.0,top
LED25,365.538051,-98.042684,90.0,top
LED26,365.538051,-100.027059,90.0,top
LED27,365.538051,-102.011434,90.0,top
LED28,365.538051,-103.995809,90.0,top
LED29,365.538051,-105.980184,90.0,top
LED3,367.590904,-111.933309,270.0,top
LED30,365.538051,-107.964559,90.0,top
LED31,365.538051,-109.948934,90.0,top
LED32,365.443141,-111.933309,90.0,top
LED33,365.444007,-113.94981,90.0,top
LED34,365.442185,-115.884575,90.0,top
LED4,367.590904,-109.948934,270.0,top
LED5,367.590904,-107.964559,270.0,top
LED6,367.590904,-105.980184,270.0,top
LED7,367.590904,-103.995809,270.0,top
LED8,367.590904,-102.011434,270.0,top
LED9,367.590904,-100.027059,270.0,top
MX100,107.15625,-90.4875,0.0,bottom
MX101,126.206144,-90.487424,0.0,bottom
MX110,145.25625,-90.4875,0.0,bottom
MX111,164.30625,-90.4875,0.0,bottom
MX120,183.35625,-90.4875,0.0,bottom
MX121,202.40625,-90.4875,0.0,bottom
MX130,221.45625,-90.4875,0.0,bottom
MX131,240.50625,-90.4875,0.0,bottom
MX140,259.55625,-90.4875,0.0,bottom
MX141,278.60625,-90.4875,0.0,bottom
MX150,297.65625,-90.4875,0.0,bottom
MX151,316.70625,-90.4875,0.0,bottom
MX160,342.9,-90.4875,0.0,bottom
MX170,383.38125,-90.4875,0.0,bottom
MX171,402.43125,-90.4875,0.0,bottom
MX180,421.48125,-90.4875,0.0,bottom
MX181,440.53125,-90.4875,0.0,bottom
MX202,109.5375,-109.5375,0.0,bottom
MX203,130.96875,-109.5375,0.0,bottom
MX212,150.01875,-109.5375,0.0,bottom
MX213,169.06875,-109.5375,0.0,bottom
MX222,188.11875,-109.5375,0.0,bottom
MX223,207.16875,-109.5375,0.0,bottom
MX232,226.21875,-109.5375,0.0,bottom
MX233,245.26875,-109.5375,0.0,bottom
MX242,264.31875,-109.5375,0.0,bottom
MX243,283.36875,-109.5375,0.0,bottom
MX252,302.41875,-109.5375,0.0,bottom
MX253,321.46875,-109.5375,0.0,bottom
MX262,345.28125,-109.5375,0.0,bottom
MX272,383.38125,-109.5375,0.0,bottom
MX273,402.43125,-109.5375,0.0,bottom
MX282,421.48125,-109.5375,0.0,bottom
MX283,440.53125,-109.5375,0.0,bottom
MX304,114.3,-128.5875,0.0,bottom
MX305,140.49375,-128.5875,0.0,bottom
MX314,159.54375,-128.5875,0.0,bottom
MX315,178.59375,-128.5875,0.0,bottom
MX324,197.64375,-128.5875,0.0,bottom
MX325,216.69375,-128.5875,0.0,bottom
MX334,235.74375,-128.5875,0.0,bottom
MX335,254.79375,-128.5875,0.0,bottom
MX344,273.84375,-128.5875,0.0,bottom
MX345,292.89375,-128.5875,0.0,bottom
MX354,311.94375,-128.5875,0.0,bottom
MX355,333.375,-128.5875,0.0,bottom
MX364,359.56875,-133.35,0.0,bottom
MX374,383.38125,-128.5875,0.0,bottom
MX375,402.43125,-128.5875,0.0,bottom
MX384,421.48125,-128.5875,0.0,bottom
MX385,440.53125,-128.5875,270.0,bottom
MX406.125,109.5375,-147.6375,0.0,bottom
MX407,130.96875,-147.6375,0.0,bottom
MX416.125,152.4,-147.6375,0.0,bottom
MX417.275,190.5,-147.6375,0.0,bottom
MX417.625,223.8375,-147.6375,0.0,bottom
MX437.225,238.125,-147.6375,0.0,bottom
MX446.125,271.4625,-147.6375,0.0,bottom
MX447,292.89375,-147.6375,0.0,bottom
MX456.125,314.325,-147.6375,0.0,bottom
MX457,340.51875,-152.4,0.0,bottom
MX467,359.56875,-152.4,0.0,bottom
MX476,378.61875,-152.4,0.0,bottom
MX477,402.43125,-147.6375,0.0,bottom
MX477.200,411.95625,-147.6375,180.0,bottom
MX486,421.48125,-147.6375,0.0,bottom
MX487,440.53125,-147.6375,270.0,bottom
MX487.200,440.53125,-138.1125,90.0,bottom
R1,369.686445,-116.49737,0.0,top
R2,363.508878,-116.477634,0.0,top
R8,367.109375,-122.2375,270.0,bottom
R9,366.063259,-122.2375,90.0,bottom
U1,356.740716,-112.36514,180.0,bottom
U2,355.203125,-98.425,90.0,bottom
U4,359.41962,-101.94718,270.0,bottom
U5,350.04375,-120.253125,0.0,bottom
